kingdom,class,phylum,order,family,genus,species
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia camphorata
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia carduacea
Plantae,Anthophyta,Dicotyledoneae,Asterales,Asteraceae,Ambrosia,Ambrosia confertiflora
Plantae,Anthophyta,Dicotyledoneae,Asterales,Asteraceae,Ambrosia,Ambrosia deltoidea
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia divaricata
Plantae,Anthophyta,Dicotyledoneae,Asterales,Asteraceae,Ambrosia,Ambrosia dumosa
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia humi
Plantae,Anthophyta,Dicotyledoneae,Asterales,Asteraceae,Ambrosia,Ambrosia ilicifolia
Plantae,Anthophyta,Dicotyledoneae,Asterales,Asteraceae,Hymenoclea,Ambrosia monogyra
Plantae,Anthophyta,Dicotyledoneae,Asterales,Asteraceae,Hymenoclea,Ambrosia salsola
Plantae,Anthophyta,Dicotyledoneae,Asterales,Asteraceae,Hymenoclea,Ambrosia salsola
Plantae,Anthophyta,Dicotyledoneae,Asterales,Asteraceae,Hymenoclea,Ambrosia salsola
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia sp.
Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Americardia,Americardia biangulata
Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Americardia,Americardia planicostata
Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Americhiton,Americhiton arragonites
Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Ameritella,Ameritella amianta
Animalia,Mollusca,Bivalvia,Veneroida,Tellinidae,Ameritella,Ameritella carpenteri
Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Ameritella,Ameritella felix
Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Ameritella,Ameritella sp.
Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Ameritella,Ameritella tabogensis
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Amithao,Amithao marginicollis
Plantae,Anthophyta,Dicotyledoneae,Myrtales,Lythraceae,Ammannia,Ammannia robusta
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis
Animalia,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytoides,Ammodytoides gilli
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus harrisii
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus harrisii saxicola
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus leucurus
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus leucurus canfieldae
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus leucurus extimus
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus leucurus insularis
Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Ammothella,Ammothella spinifera
Animalia,Annelida,Polychaeta,NA,Opheliidae,Ophelina,Ophelina pallida
Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Amonardia,Amonardia coreana
Plantae,Anthophyta,Dicotyledoneae,Violales,Bixaceae,Amoreuxia,Amoreuxia palmatifida
